Doctor Name,Specialty,Location,Contact,Availability
Dr. A. Sharma,Cardiologist,New Delhi,9876543210,Monday-Friday 10AM-4PM
Dr. B. Mehta,Endocrinologist,Mumbai,9823456789,Monday-Saturday 9AM-5PM
Dr. C. Verma,Neurologist,Bangalore,9765432109,Tuesday-Thursday 11AM-3PM
Dr. D. Reddy,Diabetologist,Hyderabad,9856473829,Monday-Saturday 10AM-6PM
Dr. E. Nair,General Physician,Kolkata,9832145678,Monday-Sunday 8AM-2PM
Dr. F. Gupta,ENT Specialist,Pune,9812345678,Monday-Friday 9AM-4PM
Dr. G. Patel,Orthopedic Surgeon,Ahmedabad,9876543120,Wednesday-Sunday 12PM-5PM
Dr. H. Iyer,Dermatologist,Chennai,9807654321,Monday-Friday 10AM-3PM
Dr. I. Bose,Psychiatrist,Kolkata,9786541230,Tuesday-Saturday 11AM-6PM
Dr. J. Roy,Oncologist,Delhi,9871234567,Monday-Wednesday 10AM-2PM
